ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2021-08-06T20:33:10+0200,CzP5qp2VwoSscwcVZ6,10.1.1.155,61438,10.1.1.10,554,tcp,-,0.002047,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C9t8Co4lr30FmXHhC3,10.1.1.155,61438,10.1.1.10,135,tcp,-,0.002018,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CQauKtPSk6ipGddCd,10.1.1.155,61438,10.1.1.10,4003,tcp,-,0.001856,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Cvqqf84sHf4jNiVce1,10.1.1.155,61438,10.1.1.10,1782,tcp,-,0.001776,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Ccg3Yv4b1CcEPWqnFk,10.1.1.155,61438,10.1.1.10,3828,tcp,-,0.000770,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CjqWFn4ItO3EUpWZod,10.1.1.155,61438,10.1.1.10,1079,tcp,-,0.000775,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CNA9jlKuiP9FNJWs8,10.1.1.155,61438,10.1.1.10,32784,tcp,-,0.000856,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CqAsPRIAOCzhyCKi6,10.1.1.155,61438,10.1.1.10,1087,tcp,-,0.001066,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CJHuvF4hziuTPTjVF1,10.1.1.155,61438,10.1.1.10,16113,tcp,-,0.001025,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CCp2PR3RAExmTgBTMg,10.1.1.155,61438,10.1.1.10,5718,tcp,-,0.001231,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C3oLgq2B0BQgaioaui,10.1.1.155,61438,10.1.1.10,389,tcp,-,0.001565,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Cse7JD3i7LVKw31db1,10.1.1.155,61438,10.1.1.10,7201,tcp,-,0.001647,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CZOocq2oyESBdqPBMa,10.1.1.155,61438,10.1.1.10,1041,tcp,-,0.001552,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CFBe3T2FwujlIdknGg,10.1.1.155,61438,10.1.1.10,5666,tcp,-,0.002782,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CNCO5p2Qwjs1qkLbNj,10.1.1.155,61438,10.1.1.10,19101,tcp,-,0.002826,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CQjmuvG2pG3LOyqwd,10.1.1.155,61438,10.1.1.10,1199,tcp,-,0.002809,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,C6XfOF1FCcN2OOEOX9,10.1.1.155,61438,10.1.1.10,27715,tcp,-,0.002761,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CFqYkCwVb4Sm7e2R5,10.1.1.155,61438,10.1.1.10,1864,tcp,-,0.002780,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CoH69Y3csQmPD5uT8,10.1.1.155,61438,10.1.1.10,5903,tcp,-,0.002754,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,Cf9Ssk1PQA3b590LDh,10.1.1.155,61438,10.1.1.10,5633,tcp,-,0.002884,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CeoLj51Yj4OwoFeQyf,10.1.1.155,61438,10.1.1.10,1271,tcp,-,0.002880,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CqfzP92NdcmJQb14t7,10.1.1.155,61438,10.1.1.10,1089,tcp,-,0.003326,0,0,REJ,-,-,0,Sr,1,44,1,40,-
2021-08-06T20:33:10+0200,CF0zZY2bo9pU05sJyc,10.1.1.155,61438,10.1.1.10,1114,tcp,-,0.003741,0,0,REJ,-,-,0,Sr,1,44,1,40,-
